X,Y,objectid,linea,nombre,codigo_mpio,municipio,sistema,tipo
-75.5536350819187,6.33009769975959,21,A,Estación Bello (Línea A),05088,Bello,Metro,Estación
-75.5442873990234,6.33782749669792,22,A,Estación Niquía (Línea A),05088,Bello,Metro,Estación
-75.5860638621285,6.18616161338868,23,A,Estación Ayurá (Línea A),05266,Envigado,Metro,Estación
-75.5970654701243,6.17468614727454,24,A,Estación Envigado (Línea A),05360,Itagüí,Metro,Estación
-75.6068632485028,6.16289398638237,25,A,Estación Itaguí (Línea A),05360,Itagüí,Metro,Estación
-75.6162423823145,6.15768901932501,26,A,Estación Sabaneta (Línea A),05631,Sabaneta,Metro,Estación
-75.6263632191237,6.15278426361469,27,A,Estación La Estrella (Línea A),05631,Sabaneta,Metro,Estación
-75.5697279007704,6.2472023410216,28,B,Estación San Antonio (Línea B),05001,Medellín,Metro,Estación
-75.5029717312349,6.28154575110938,29,L,Estación Arví (Línea L),05001,Medellín,Cable,Estación
-75.5417272822104,6.29315937781415,30,K,Estación Santo Domingo (Línea K),05001,Medellín,Cable,Estación
-75.5481413647301,6.29512259612395,31,K,Estación Popular (Línea K),05001,Medellín,Cable,Estación
-75.5518969352687,6.29627205460803,32,K,Estación Andalucía (Línea K),05001,Medellín,Cable,Estación
-75.6137025710201,6.26567653049018,33,J,Estación Juan XXIII (Línea J),05001,Medellín,Cable,Estación
-75.614017156541,6.27536076855347,34,J,Estación Vallejuelos (Línea J),05001,Medellín,Cable,Estación
-75.6142033755028,6.28109317517167,35,J,Estación La Aurora (Línea J),05001,Medellín,Cable,Estación
-75.5413945040083,6.24761517926628,36,M,Estación 13 de Noviembre (Línea M),05001,Medellín,Cable,Estación
-75.528679476389,6.23487454363907,37,H,Estación Villa Sierra (Línea H),05001,Medellín,Cable,Estación
-75.5444759545032,6.24526308947616,38,M,Estación El Pinal (Línea M),05001,Medellín,Cable,Estación
-75.5363721166796,6.23664541409579,39,H,Estación Las Torres (Línea H),05001,Medellín,Cable,Estación
-75.5418476304073,6.29272254939581,40,L,Estación Santo Domingo (Línea L),05001,Medellín,Cable,Estación
-75.5583080210086,6.30027217547547,41,K,Estación Acevedo (Línea K),05001,Medellín,Cable,Estación
-75.5491113458109,6.24172479061194,42,M,Estación Miraflores (Línea M),05001,Medellín,Cable,Estación
-75.5399371365802,6.2333620125356,43,H,Estación Oriente (Línea H),05001,Medellín,Cable,Estación
-75.6134116417339,6.25672017040803,44,J,Estación San Javier (Línea J),05001,Medellín,Cable,Estación
-75.5823335872499,6.30599901971645,45,P,Estación El Progreso (Línea P),05001,Medellín,Cable,Estación
-75.5759472141635,6.30424822999306,46,P,Estación Doce de Octubre (Línea P),05001,Medellín,Cable,Estación
-75.5673188985545,6.3018826721482,47,P,Estación Sena-Pedregal (Línea P),05001,Medellín,Cable,Estación
-75.5588079738884,6.29954912795052,48,P,Estación Acevedo (Línea P),05001,Medellín,Cable,Estación
-75.5417391336839,6.235509448773,49,T,Estación Alejandro Echavarría (Línea T),05001,Medellín,Tranvía,Estación
-75.5587626628655,6.24395102006647,50,T,Estación Bicentenario (Línea T),05001,Medellín,Tranvía,Estación
-75.5451756477865,6.23902804192344,51,T,Estación Loyola (Línea T),05001,Medellín,Tranvía,Estación
-75.5401397381178,6.23315021150395,52,T,Estación Oriente (Línea T),05001,Medellín,Tranvía,Estación
-75.5619932849016,6.24558862493685,53,T,Estación Pabellón del Agua (Línea T),05001,Medellín,Tranvía,Estación
-75.5653862127465,6.24732916927992,54,T,Estación San José (Línea T),05001,Medellín,Tranvía,Estación
-75.5538999995876,6.24139922685279,55,T,Estación Buenos Aires (Línea T),05001,Medellín,Tranvía,Estación
-75.5490033907717,6.24138787426225,56,T,Estación Miraflores (Línea T),05001,Medellín,Tranvía,Estación
-75.5691571507647,6.24699781087874,57,T,Estación San Antonio (Línea T),05001,Medellín,Tranvía,Estación
-75.6092248969268,6.2306668818317,58,1,Estación Universidad de Medellín (Línea 1),05001,Medellín,Metroplus,Estación
-75.6051687339245,6.23109274155316,59,1,Parada Los Alpes (Línea 1),05001,Medellín,Metroplus,Parada
-75.6010278759605,6.23117775146433,60,1,Parada La Palma (Línea 1),05001,Medellín,Metroplus,Parada
-75.5967500069493,6.23139602670513,61,1,Parada Parque Belén (Línea 1),05001,Medellín,Metroplus,Parada
-75.590970014646,6.23159618898699,62,1,Parada Rosales (Línea 1),05001,Medellín,Metroplus,Parada
-75.586564113249,6.23174271629464,63,1,Parada Fátima (Línea 1),05001,Medellín,Metroplus,Parada
-75.5820581601905,6.23186520292284,64,1,Parada Nutibara (Línea 1),05001,Medellín,Metroplus,Parada
-75.575400728552,6.24366185672786,65,1,Parada Plaza Mayor (Línea 1),05001,Medellín,Metroplus,Parada
-75.5750356181862,6.25085315606525,66,1,Parada Cisneros (Línea 1),05001,Medellín,Metroplus,Parada
-75.5731452286551,6.25609136852109,67,1,Parada Minorista (Línea 1),05001,Medellín,Metroplus,Parada
-75.5691426142268,6.26071063593293,68,1,Parada Chagualo (Línea 1),05001,Medellín,Metroplus,Parada
-75.5675800630621,6.26393106724812,69,1,Parada Ruta N (Línea 1),05001,Medellín,Metroplus,Parada
-75.5601699564031,6.2634863688281,70,1,Parada San Pedro (Línea 1),05001,Medellín,Metroplus,Parada
-75.5559231340665,6.26211308484593,71,1,Parada Palos Verdes (Línea 1),05001,Medellín,Metroplus,Parada
-75.5550441307643,6.26766778110658,72,1,Parada Gardel (Línea 1),05001,Medellín,Metroplus,Parada
-75.5540786933622,6.27325743471826,73,1,Parada Manrique (Línea 1),05001,Medellín,Metroplus,Parada
-75.5531680217513,6.27839345002257,74,1,Parada Las Esmeraldas (Línea 1),05001,Medellín,Metroplus,Parada
-75.5529379919532,6.28293199998718,75,1,Parada Berlin (Línea 1),05001,Medellín,Metroplus,Parada
-75.5566589881332,6.28520013148265,76,1,Parada Parque Aranjuez (Línea 1),05001,Medellín,Metroplus,Parada
-75.5709859589865,6.22862438957243,77,2,Paradero Barrio Colombia (Línea 2),05001,Medellín,Metroplus,Paradero
-75.5698289154258,6.22905763079973,78,2,Paradero Barrio Colombia (Línea 2),05001,Medellín,Metroplus,Paradero
-75.5700422527294,6.23408877202408,79,2,Parada Perpetuo Socorro (Línea 2),05001,Medellín,Metroplus,Parada
-75.5697817511784,6.24060955371316,80,2,Parada Barrio Colón (Línea 2),05001,Medellín,Metroplus,Parada
-75.5660917935881,6.24708022320731,81,2,Parada San José (Línea 2),05001,Medellín,Metroplus,Parada
-75.5643944484184,6.24959091359087,82,2,Parada La Playa (Línea 2),05001,Medellín,Metroplus,Parada
-75.5624737614077,6.25296478210515,83,2,Parada Catedral Metropolitana (Línea 2),05001,Medellín,Metroplus,Parada
-75.5595881346616,6.25879724909273,84,2,Paradero Prado (Línea 2),05001,Medellín,Metroplus,Paradero
-75.5603729217584,6.25897034151252,85,2,Paradero Prado (Línea 2),05001,Medellín,Metroplus,Paradero
-75.5564025900864,6.26325595923263,86,2,Paradero Palos Verdes (Línea 2),05001,Medellín,Metroplus,Paradero
-75.552870231133,6.28292594063446,87,1,Parada Berlin (Línea 1),05001,Medellín,Metroplus,Parada
-75.5531259752062,6.27838681467882,88,1,Parada Las Esmeraldas (Línea 1),05001,Medellín,Metroplus,Parada
-75.5540235502785,6.27324829730172,89,1,Parada Manrique (Línea 1),05001,Medellín,Metroplus,Parada
-75.554990729514,6.26766326458667,90,1,Parada Gardel (Línea 1),05001,Medellín,Metroplus,Parada
-75.5558172173046,6.26207271254905,91,1,Parada Palos Verdes (Línea 1),05001,Medellín,Metroplus,Parada
